,시설명,"시(특별,광역)/도",시/군/구,도로명,위도,경도,정원,현원
29,은평천사원,서울특별시,은평구,갈현로11길30,37.6024,126.9293,75,64
30,이든아이빌,서울특별시,성동구,왕십리로21라길11,37.5635,127.0365,50,46
31,지온보육원,서울특별시,강서구,금낭화로26가길 120,37.585495,126.8092118,55,42
32,청운보육원,서울특별시,동작구,국사봉1길 145,37.4962861,126.933192,72,59
33,혜명보육원,서울특별시,금천구,탑골로 35,37.4520648,126.9134602,57,46
34,혜심원,서울특별시,용산구,소월로2나길 18,37.5538669,126.9773942,55,52
35,돈보스코오라토리오,서울특별시,영등포구,여의방대로 65,37.5262,126.8959,45,40
36,마자렐로센터,서울특별시,영등포구,신길로 93,37.4928559,126.9093605,50,47
37,살레시오청소년센터,서울특별시,영등포구,디지털로 70길7,37.49274,126.90365,80,43
38,소년의집,부산광역시,서구,감천로237,35.0974999,129.0241,130,119
39,송도가정,부산광역시,서구,천해남로7,35.0974999,129.0241,110,100
40,미애원,부산광역시,동구,망양로 641,35.1398032,129.0502154,41,7
41,파랑새아이들집,부산광역시,영도구,와치로 78,35.0837091,129.0628753,80,55
42,새들원,부산광역시,동래구,금정마을로 83,35.2120666,129.0646334,96,66
43,우리집원,부산광역시,동래구,우장춘로 192-1,35.2201448,129.076522,45,42
44,새빛기독보육원,부산광역시,남구,신선로452,35.1361,129.0843999,50,38
45,은혜의집,부산광역시,해운대구,해운대로295번길16,35.1629,129.1638,66,17
46,박애원,부산광역시,해운대구,해운대로 469번길,35.1684847,129.1745718,51,33
47,애아원,부산광역시,사하구,감천로43번길 45-1,35.0919134,128.9982877,77,56
48,남광아동복지원,부산광역시,금정구,중앙대로 2349번길 3,35.2232938,129.0877038,63,39
49,동성원,부산광역시,금정구,두실로7번길 63,35.2565142,129.090378,60,35
50,성애원,부산광역시,금정구,금샘로41,35.2429,129.0926,72,28
51,희락원,부산광역시,금정구,노포사송로 169,35.2977071,129.0835661,75,31
52,소양무지개동산,부산광역시,강서구,동선길 369,35.0440016,128.8302745,60,47
53,동산원,부산광역시,수영구,광일로 29번길 42,35.162984,129.1066816,38,35
54,매실보육원,부산광역시,진구,동평로 116번길 36,35.16445106,129.0426244,17,10
55,새롬아동센터,부산광역시,동래구,금정마을로 93,35.2120666,129.0646334,40,15
56,성림아동원,대구광역시,수성구,성동로74-16,35.8584,128.6305,48,14
57,봄의집,대구광역시,수성구,들안로 16길 22,35.8648753,128.6184186,50,31
58,드림나래,대구광역시,수성구,파동로51길 74,35.822805,128.6090805,59,25
59,대구신망애원,대구광역시,수성구,희망로 121,35.8459902,128.6133889,60,33
60,신애보육원,대구광역시,서구,북비산로 33길 9-2,35.8791473,128.559128,48,43
61,새볕원,대구광역시,북구,영송로 36-6,35.9295402,128.5445106,60,21
62,천광원,대구광역시,북구,동북로 57,35.9015784,128.5957623,51,31
63,희망의집,대구광역시,북구,대불서길5,35.8855,128.5828858,48,31
64,대구SOS어린이마을,대구광역시,동구,해동로 219,35.8866335,128.6491243,100,50
65,애생보육원,대구광역시,동구,방촌로 69,35.8835665,128.663344,42,27
66,육영학사,대구광역시,동구,신평로 57,35.8862997,128.687264,42,22
67,베다니농원,대구광역시,동구,율하동로 28길 8,35.86984,128.70222,20,15
68,신생원,대구광역시,동구,금강로 105,35.8592237,128.7363721,33,24
69,대구아동복지센터,대구광역시,남구,대덕로 193,35.8413945,128.5906249,100,69
70,호동원,대구광역시,남구,희망로 5길 19,35.8474692,128.6059172,42,35
71,에덴원,대구광역시,남구,효서길 8,35.8379649,128.5963176,54,30
72,영생애육원,대구광역시,남구,대명로 156,35.83907,128.5769288,60,34
73,성바오로 청소년의 집,대구광역시,군위군,부계면 호1길 118-22,36.07075,128.65745,40,24
74,늘사랑청소년센터,대구광역시,수성구,국채보상로 906,35.8680031,128.6158381,32,29
75,디차힐,인천광역시,중구,마장포로 29번길 4,37.5134988,126.5510931,50,44
76,보라매보육원,인천광역시,동구,화도진로 126,37.487141,126.6217345,40,39
77,인천보육원,인천광역시,미추홀구,매소홀로 446번길 50,37.4410725,126.6618569,72,48
78,해성보육원,인천광역시,미추홀구,인하로 91번길 15,37.4485512,126.6721743,93,59
79,향진원,인천광역시,미추홀구,석정로 329번길 32,37.468682,126.6493005,70,58
80,신명보육원,인천광역시,부평구,경인로 749,37.47704865,126.7095381,60,45
81,해피홈보육원,인천광역시,부평구,경인로 898,37.4783998,126.7104681,66,49
82,파인트리홈,인천광역시,부평구,일신로 29,37.4796664,126.7466377,94,85
83,광주성빈여사,광주광역시,동구,백서로 149,35.1432952,126.922633,42,33
84,광주일맥원,광주광역시,동구,지호로 73,35.1474649,126.9360026,42,35
85,무등육아원,광주광역시,동구,의재로 95,35.1336084,126.9493429,90,47
86,광주영신원,광주광역시,동구,화산로 237-5,35.1173473,126.9259521,84,56
